song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Rockstar,Post Malone Featuring 21 Savage,1,1,40,32
Havana,Camila Cabello Featuring Young Thug,1,1,45,32
Gucci Gang,Lil Pump,3,3,23,14
Thunder,Imagine Dragons,4,4,51,23
Bodak Yellow (Money Moves),Cardi B,1,5,34,15
Too Good At Goodbyes,Sam Smith,4,6,23,14
Perfect,Ed Sheeran,1,1,56,45
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,8,41,13
Feel It Still,Portugal. The Man,4,8,44,23
Mi Gente,J Balvin & Willy William Featuring Beyonce,3,10,29,10
What Lovers Do,Maroon 5 Featuring SZA,9,9,21,10
Sorry Not Sorry,Demi Lovato,6,9,35,17
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,4,28,19
Walk On Water,Eminem Featuring Beyonce,14,14,4,4
MotorSport,"Migos, Nicki Minaj & Cardi B",6,6,21,19
I Get The Bag,Gucci Mane Featuring Migos,11,14,26,14
Bad At Love,Halsey,5,5,32,22
...Ready For It?,Taylor Swift,4,18,19,9
New Rules,Dua Lipa,6,6,47,32
What About Us,P!nk,13,20,21,7
Unforgettable,French Montana Featuring Swae Lee,3,21,41,10
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,19,51,8
Rake It Up,Yo Gotti Featuring Nicki Minaj,8,23,22,3
Attention,Charlie Puth,5,24,39,10
I Fall Apart,Post Malone,16,16,29,22
Believer,Imagine Dragons,4,16,51,11
Bank Account,21 Savage,12,15,28,10
Praying,Kesha,22,26,21,3
Young Dumb & Broke,Khalid,18,18,35,18
Shape Of You,Ed Sheeran,1,13,58,14
Look What You Made Me Do,Taylor Swift,1,31,19,7
Strip That Down,Liam Payne Featuring Quavo,10,32,28,3
There's Nothing Holdin' Me Back,Shawn Mendes,6,33,34,5
That's What I Like,Bruno Mars,1,32,51,8
Slow Hands,Niall Horan,11,35,31,3
Congratulations,Post Malone Featuring Quavo,8,35,50,4
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,24,22,11
The Weekend,SZA,33,33,24,9
When It Rains It Pours,Luke Combs,33,39,20,5
How Long,Charlie Puth,21,21,23,18
Love.,Kendrick Lamar Featuring Zacari,11,11,39,19
Do Re Mi,Blackbear,40,41,25,3
What Ifs,Kane Brown Featuring Lauren Alaina,26,43,23,1
Silence,Marshmello Featuring Khalid,30,30,22,9
Greatest Love Story,LANco,45,45,20,10
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie wit da Hoodie & Kodak Black",46,46,19,10
Humble.,Kendrick Lamar,1,47,37,5
XO TOUR Llif3,Lil Uzi Vert,7,48,34,1
Something Just Like This,The Chainsmokers & Coldplay,3,49,39,1
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,50,21,1
Wolves,Selena Gomez X Marshmello,20,20,22,19
Let You Down,NF,12,12,27,23
Meant To Be,Bebe Rexha & Florida Georgia Line,2,2,51,48
Plain Jane,A$AP Ferg Featuring Nicki Minaj,27,27,24,17
Unforgettable,Thomas Rhett,47,55,20,5
Ric Flair Drip,Offset & Metro Boomin,13,13,30,28
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,57,7,5
Gummo,6ix9ine,12,12,19,19
Roll In Peace,Kodak Black Featuring XXXTENTACION,31,31,25,13
Light It Up,Luke Bryan,57,57,18,7
Love So Soft,Kelly Clarkson,47,60,13,4
Like I Loved You,Brett Young,46,46,19,12
I'll Name The Dogs,Blake Shelton,56,56,19,10
Sky Walker,Miguel Featuring Travis Scott,29,29,25,18
Wanted You,Nav Featuring Lil Uzi Vert,64,64,6,6
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & WATT,40,40,21,14
Fix A Drink,Chris Janson,67,67,14,3
Good Old Days,Macklemore Featuring Kesha,48,48,19,16
Female,Keith Urban,69,69,6,6
Dusk Till Dawn,ZAYN Featuring Sia,44,68,16,7
The Race,Tay-K,44,64,19,5
Every Little Thing,Carly Pearce,50,72,17,2
Call It What You Want,Taylor Swift,27,73,2,1
Losing Sleep,Chris Young,60,60,19,12
Yours,Russell Dickerson,49,49,19,15
Lights Down Low,MAX Featuring Gnash,20,20,27,22
Round Here Buzz,Eric Church,56,56,18,11
Candy Paint,Post Malone,34,34,20,17
Lemon,N*E*R*D & Rihanna,36,36,21,20
Rubbin Off The Paint,YBN Nahmir,46,46,16,15
I Could Use A Love Song,Maren Morris,56,56,20,8
F**k Love,XXXTENTACION Featuring Trippie Redd,28,28,20,9
Jocelyn Flores,XXXTENTACION,19,19,20,9
Mayores,Becky G Featuring Bad Bunny,74,74,17,14
Ask Me How I Know,Garth Brooks,71,71,7,4
Relationship,Young Thug Featuring Future,65,81,14,2
Transportin',Kodak Black,46,82,16,4
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",64,88,3,1
Gorgeous,Taylor Swift,13,89,4,1
Sauce It Up,Lil Uzi Vert,49,88,15,4
Questions,Chris Brown,78,91,13,2
Smooth,Florida Georgia Line,89,92,7,1
Betrayed,Lil Xan,64,64,19,19
You Broke Up With Me,Walker Hayes,62,62,18,15
Broken Halos,Chris Stapleton,45,45,20,18
The Plan,G-Eazy,96,96,1,1
Pick It Up,Famous Dex Featuring A$AP Rocky,54,54,19,19
Go Flex,Post Malone,76,91,11,3
Too Much To Ask,Niall Horan,66,86,11,8
Patek Water,Future & Young Thug Featuring Offset,50,100,4,1
Echame La Culpa,Luis Fonsi & Demi Lovato,47,47,19,19
Awful Things,Lil Peep,79,79,1,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,18,18,13,13
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,90,4,4
When We,Tank,78,78,19,19
Glorious,Macklemore Featuring Skylar Grey,49,93,19,1
Beautiful Trauma,P!nk,78,78,15,15
No Smoke,YoungBoy Never Broke Again,61,61,17,17
The Rest Of Our Life,Tim McGraw & Faith Hill,98,98,1,1
Written In The Sand,Old Dominion,51,51,19,19
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,94,4,4
All I Want For Christmas Is You,Mariah Carey,9,9,23,4
MIC Drop,BTS Featuring Desiigner,28,28,9,9
Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,52,13,13
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,75,6,6
It's Everyday Bro,Jake Paul Featuring Team 10,91,91,2,1
All On Me,Devin Dawson,52,52,19,18
Legends,Kelsea Ballerini,68,68,11,11
Total Eclipse Of The Heart,Chloe Kohanski,99,99,1,1
Perro Fiel,Shakira Featuring Nicky Jam,100,100,1,1
Him & I,G-Eazy & Halsey,14,14,19,19
Rockin' Around The Christmas Tree,Brenda Lee,14,34,21,3
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",38,38,11,3
It's The Most Wonderful Time Of The Year,Andy Williams,35,35,4,3
A Holly Jolly Christmas,Burl Ives,41,41,4,3
Tell Me You Love Me,Demi Lovato,53,53,19,18
Kooda,6ix9ine,50,50,8,8
Juice,Yo Gotti,90,90,5,5
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,95,95,1,1
Marry Me,Thomas Rhett,30,30,19,19
Five More Minutes,Scotty McCreery,44,44,19,19
Criminal,Natti Natasha x Ozuna,95,95,3,3
Last Christmas,Wham!,41,44,3,1
Never Be The Same,Camila Cabello,6,6,36,36
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,67,67,1,1
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,72,6,6
My Dawg,Lil Baby,77,77,6,6
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,80,80,2,1
Danger,Migos & Marshmello,82,82,1,1
Untouchable,Eminem,86,86,1,1
Bartier Cardi,Cardi B Featuring 21 Savage,14,14,20,20
River,Eminem Featuring Ed Sheeran,11,32,13,12
La Modelo,Ozuna x Cardi B,52,52,14,14
Eye 2 Eye,Huncho Jack Featuring TakeOff,65,65,1,1
Modern Slavery,Huncho Jack,68,68,1,1
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,69,1,1
Black & Chinese,Huncho Jack,71,71,1,1
Ice Tray,Quavo & Lil Yachty,74,74,6,5
Dubai Shit,Huncho Jack Featuring Offset,83,83,1,1
Huncho Jack,Huncho Jack,87,87,1,1
Motorcycle Patches,Huncho Jack,90,90,1,1
Saint,Huncho Jack,92,92,1,1
Stir Fry,Migos,8,8,21,21
Finesse,Bruno Mars & Cardi B,3,3,23,23
One Foot,Walk the Moon,65,65,8,8
Heaven,Kane Brown,15,15,27,26
This Is Me,Keala Settle & The Greatest Showman Ensemble,58,58,14,14
Rewrite The Stars,Zac Efron & Zendaya,70,70,7,7
Never Enough,Loren Allred,88,88,4,4
Corazon,Maluma X Nego do Borel,87,87,9,9
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,88,4,4
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,81,5,5
Filthy,Justin Timberlake,9,9,6,6
All The Stars,Kendrick Lamar & SZA,7,7,21,21
For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,76,3,3
Nowadays,Lil Skies Featuring Landon Cube,55,55,13,13
I Miss You,Clean Bandit Featuring Julia Michaels,92,92,1,1
